Hub_UniProt_ID,Rank,Interaction,Explanation_Importance
O95180,1,O95180--Q9UBN4,0.141753
O95180,2,P48995--O95180,0.141337
O95180,3,O95180--Q12809,0.140623
P24046,1,P01106--P24046,0.275504
P24046,2,Q99928--P24046,0.253224
P24046,3,P04637--P24046,0.245354
P24046,4,P48067--P24046,0.245196
P24046,5,P48169--P24046,0.244806
P35346,1,P37288--P35346,0.152783
P35346,2,O76082--P35346,0.152229
P35346,3,P30411--P35346,0.152113
P35346,4,P08172--P35346,0.151858
P35367,1,P00533--P35367,0.167338
P35367,2,O60674--P35367,0.15528
P35367,3,P62633--P35367,0.153772
P35367,4,O15350--P35367,0.152919
P35367,5,P35367--P60033,0.152851
P41594,1,P36873--P41594,0.375518
P41594,2,Q5T6X5--P41594,0.320062
P41594,3,Q14833--P41594,0.266852
P41594,4,Q13003--P41594,0.263339
P41594,5,Q16099--P41594,0.261638
P48169,1,Q99928--P48169,0.148044
P48169,2,Q15822--P48169,0.147444
P48169,3,P05067--P48169,0.147277
P48169,4,P48169--P30532,0.147211
P48169,5,P47869--P48169,0.146868
Q00975,1,Q7L0J3--Q00975,0.151551
Q00975,2,Q00975--P48039,0.150952
Q00975,3,P35499--Q00975,0.150711
Q00975,4,Q00975--P60880,0.150544
Q00975,5,Q00975--Q02410,0.15014
Q12809,1,O60658--Q12809,0.447511
Q12809,2,O95166--Q12809,0.404949
Q12809,3,O95180--Q12809,0.403396
Q12809,4,Q16099--Q12809,0.397656
Q12809,5,P57789--Q12809,0.389476
